metric;critical;variable;unit;model;scenario;region;period;min_red;min_yel;max_yel;max_red;ref_model;ref_scenario;ref_period;source/link to discussion
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;OAS;2030;;0;20.9076;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;SSA;2030;;0;0.0014;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;EUR;2030;;0.606;88.074;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;NEU;2030;;0.5124;22.526;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;MEA;2030;;2.22;32.5626;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;REF;2030;;;0;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;CAZ;2030;;5.52;89.698;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;CHA;2030;;2.01;12.95;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;IND;2030;;0;0.98;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;JPN;2030;;0;2.3884;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;USA;2030;;12.12;283.843;;;;;
;;;;;;;;;;;;;;;
absolute;yes;Cap|Electricity|Hydro;GW;;;World;2020;979.4295;1033.84225;1142.66775;1197.0805;;;;IEA HSMR
absolute;yes;Cap|Electricity|Hydro;GW;;;LAM;2020;110.94;147.92;221.88;258.86;;;;https://github.com/pik-piam/mrremind/discussions/541
absolute;yes;Cap|Electricity|Hydro;GW;;;OAS;2020;32.88;43.84;65.76;76.72;;;;
absolute;yes;Cap|Electricity|Hydro;GW;;;SSA;2020;12.78;17.04;25.56;29.82;;;;
absolute;yes;Cap|Electricity|Hydro;GW;;;EUR;2020;57.084;76.112;114.168;133.196;;;;
absolute;yes;Cap|Electricity|Hydro;GW;;;NEU;2020;49.08;65.44;98.16;114.52;;;;
absolute;yes;Cap|Electricity|Hydro;GW;;;MEA;2020;9.369;12.492;18.738;21.861;;;;
absolute;yes;Cap|Electricity|Hydro;GW;;;REF;2020;37.74;50.32;75.48;88.06;;;;
absolute;yes;Cap|Electricity|Hydro;GW;;;CAZ;2020;52.5;70;105;122.5;;;;
absolute;yes;Cap|Electricity|Hydro;GW;;;CHA;2020;201.24;268.32;402.48;469.56;;;;
absolute;yes;Cap|Electricity|Hydro;GW;;;IND;2020;27.06;36.08;54.12;63.14;;;;
absolute;yes;Cap|Electricity|Hydro;GW;;;JPN;2020;13.44;17.92;26.88;31.36;;;;
absolute;yes;Cap|Electricity|Hydro;GW;;;USA;2020;48.84;65.12;97.68;113.96;;;;
absolute;yes;Cap|Electricity|Hydro;GW;;;World;2030;979.4295;1175.3742;1606.66275;2117.577;;;;
absolute;yes;Cap|Electricity|Hydro;GW;;;LAM;2030;;110.94;376.292;;;;;
absolute;yes;Cap|Electricity|Hydro;GW;;;OAS;2030;;32.88;189.602;;;;;
absolute;yes;Cap|Electricity|Hydro;GW;;;SSA;2030;;12.78;85.232;;;;;
absolute;yes;Cap|Electricity|Hydro;GW;;;EUR;2030;;57.084;247.1728;;;;;
absolute;yes;Cap|Electricity|Hydro;GW;;;NEU;2030;;49.08;188.916;;;;;
absolute;yes;Cap|Electricity|Hydro;GW;;;MEA;2030;;9.369;42.9156;;;;;
absolute;yes;Cap|Electricity|Hydro;GW;;;REF;2030;;37.74;135.9456;;;;;
absolute;yes;Cap|Electricity|Hydro;GW;;;CAZ;2030;;52.5;178.99;;;;;
absolute;yes;Cap|Electricity|Hydro;GW;;;CHA;2030;;201.24;832.118;;;;;
absolute;yes;Cap|Electricity|Hydro;GW;;;IND;2030;;27.06;149.562;;;;;
