metric;critical;variable;unit;model;scenario;region;period;min_red;min_yel;max_yel;max_red;ref_model;ref_scenario;ref_period;source/link to discussion
absolute;yes;Capacity|Electricity|Hydro;GW;;;Pacific OECD (R10);2030;;65.94;259.67;;;;;
absolute;yes;Capacity|Electricity|Hydro;GW;;;China+ (R10);2030;;201.24;832.12;;;;;
absolute;yes;Capacity|Electricity|Hydro;GW;;;India+ (R10);2030;;27.06;149.56;;;;;
absolute;yes;Capacity|Electricity|Hydro;GW;;;North America (R10);2030;;48.84;187.67;;;;;
;;;;;;;;;;;;;;;
post 2030;;;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Nuclear;GW;;;World;2050;;;;991;;;;IAEA high case
absolute;yes;Carbon Capture;Mt CO2/yr;;;World;2035;;;;1300;;;;Kazlou et al. (https://www.nature.com/articles/s41558-024-02104-0)
absolute;yes;Carbon Capture;Mt CO2/yr;;;World;2040;;;;4300;;;;Kazlou et al. (https://www.nature.com/articles/s41558-024-02104-0)
absolute;yes;Carbon Capture;Mt CO2/yr;;;World;2050;;;;8600;;;;Grant et al.
absolute;yes;Primary Energy|Biomass;EJ/yr;;;World;2025-2100;;;100;300;;;;Creutzig et al. 2015: https://onlinelibrary.wiley.com/doi/10.1111/gcbb.12205
