metric;critical;variable;unit;model;scenario;region;period;min_red;min_yel;max_yel;max_red;ref_model;ref_scenario;ref_period;source/link to discussion
relative;yes;Carbon Management|Storage;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;Carbon Management|Storage|Industry Energy|Biomass;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;FE|Buildings|ESR|Liquids|Fossil;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;FE|Buildings|ESR|Solids|Fossil;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;FE|Industry|Solids|Fossil;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;FE|Transport|Liquids|Fossil;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;Sales|Transport|LDV|BEV;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;Stock|Transport|LDV|BEV;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;Sales|Transport|Truck|Electric;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;Stock|Transport|Truck|Electric;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;Sales|Transport|Bus|Electric;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;Stock|Transport|Bus|Electric;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;FE|Buildings|Heating|Electricity|Heat pump;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
